唯一进程 ID,进程 ID,唯一线程 ID,线程 ID,线程名称,线程开始时间,线程结束时间,线程开始地址,生存时间,
0,5676,1,4628,"未知",147.11,"107,227.02","188,976","107,079.90",
0,5676,3,6716,"[wpfgfx_v0400.dll]",601.85,"107,218.68","8,791,361,761,136","106,616.83",
0,5676,5,4768,"[atiumd64.dll]",851.83,"12,850.94","8,791,358,616,652","11,999.12",
0,5676,6,4236,"[atiumd64.dll]",851.84,"12,850.98","8,791,358,616,652","11,999.13",
0,5676,7,6396,"[atiumd64.dll]",852.54,"12,850.85","8,791,358,616,652","11,998.30",
0,5676,8,4492,"[clr.dll]","10,424.56","107,225.73","8,791,602,993,480","96,801.17",
0,5676,10,6320,"[atiumd64.dll]","12,921.59","107,216.17","8,791,358,616,652","94,294.58",
0,5676,11,3456,"[atiumd64.dll]","12,982.03","107,216.01","8,791,358,616,652","94,233.98",
0,5676,12,6832,"[atiumd64.dll]","12,983.40","107,216.08","8,791,358,616,652","94,232.67",
0,5676,13,6796,"[clr.dll]","15,133.54","100,056.16","8,791,603,529,360","84,922.61",
0,5676,14,5972,"[clr.dll]","15,133.62","107,225.71","8,791,603,529,360","92,092.09",
0,5676,15,7000,"[clr.dll]","15,133.81","100,056.10","8,791,603,529,360","84,922.29",
0,5676,16,6760,"[clr.dll]","15,133.89","107,225.67","8,791,603,529,360","92,091.78",
0,5676,22,6448,"[clr.dll]","33,215.69","107,225.67","8,791,603,529,360","74,009.98",
0,5676,26,2776,"[ntdll.dll]","43,725.66","107,225.68","2,004,286,400","63,500.01",
0,5676,32,5192,"[ntdll.dll]","73,333.37","107,225.75","2,004,266,688","33,892.38",
